Fecha;TmáxCarrasco;TmínCarrasco;TmáxSalto;TmínSalto;
1/1/1970;32.6;21.0;32.0;19.8;
2/1/1970;33.8;22.0;35.4;20.7;
3/1/1970;28.1;21.5;30.8;21.3;
4/1/1970;24.0;18.8;34.1;20.0;
5/1/1970;30.5;20.2;37.2;23.0;
6/1/1970;26.2;20.0;22.3;20.0;
7/1/1970;25.8;18.0;31.2;19.8;
8/1/1970;25.3;15.8;22.3;19.4;
9/1/1970;21.0;18.0;24.9;18.2;
10/1/1970;21.2;15.2;26.8;11.0;
11/1/1970;23.2;12.0;25.0;10.6;
12/1/1970;30.2;13.2;28.8;17.6;
13/1/1970;29.2;18.0;27.1;17.0;
14/1/1970;23.8;18.0;24.8;12.8;
15/1/1970;23.6;12.6;26.7;11.8;
16/1/1970;26.2;13.8;28.8;14.4;
17/1/1970;32.4;13.0;30.3;15.6;
18/1/1970;32.7;14.0;31.1;15.0;
19/1/1970;31.4;21.4;33.4;17.9;
20/1/1970;30.0;15.4;33.8;20.3;
21/1/1970;29.2;18.0;34.5;20.6;
22/1/1970;30.6;20.0;31.0;18.5;
23/1/1970;27.0;19.4;34.2;20.7;
24/1/1970;26.1;19.8;25.0;16.0;
25/1/1970;26.2;20.0;28.2;16.0;
26/1/1970;26.0;19.0;26.8;16.9;
27/1/1970;26.4;16.0;30.0;14.1;
28/1/1970;30.2;16.8;30.1;19.0;
29/1/1970;31.0;20.0;27.5;16.5;
30/1/1970;34.0;20.0;30.8;18.0;
31/1/1970;28.4;21.0;33.7;18.7;
1/2/1970;37.2;19.8;36.2;21.2;
2/2/1970;30.2;22.0;31.0;23.0;
3/2/1970;27.3;21.0;31.3;21.8;
4/2/1970;27.6;15.0;31.6;18.6;
5/2/1970;25.4;20.6;25.2;17.4;
6/2/1970;21.7;18.0;16.1;11.4;
7/2/1970;20.4;11.0;18.2;11.0;
8/2/1970;25.0;14.6;26.5;10.0;
9/2/1970;25.3;16.8;30.0;15.4;
10/2/1970;33.0;14.0;30.6;16.7;
11/2/1970;32.2;18.6;32.5;16.8;
12/2/1970;35.0;22.0;33.2;19.3;
13/2/1970;28.7;19.8;33.2;20.6;
14/2/1970;29.4;20.0;31.4;19.0;
15/2/1970;30.0;21.0;32.9;19.7;
16/2/1970;32.4;21.0;30.7;20.8;
17/2/1970;29.2;20.8;31.2;19.0;
18/2/1970;28.2;21.0;30.4;17.8;
19/2/1970;29.6;18.0;30.2;17.4;
20/2/1970;31.3;17.8;31.2;17.4;
21/2/1970;30.0;18.8;30.3;20.0;
22/2/1970;28.4;18.0;29.1;13.8;
