tamano_oculto,gamma,epsilon_decay,lr,episodios,promedio,longitud_promedio,sin_mejora,recompensa_promedio
128.0,0.99,0.85,0.00025,19999,0.646,43.2,1,0.715
256.0,0.99,0.95,0.0005,19999,0.666,43.9,0,0.704
256.0,0.95,0.9,0.0001,19999,0.684,38.8,0,0.702
128.0,0.9,0.85,0.00025,19999,0.582,34.3,0,0.701
256.0,0.99,0.95,0.00025,19999,0.682,42.5,0,0.699
128.0,0.99,0.95,0.0005,19999,0.648,41.6,0,0.698
256.0,0.95,0.85,0.0005,19999,0.654,36.6,0,0.696
256.0,0.99,0.95,0.0001,19999,0.694,43.6,0,0.695
128.0,0.9,0.9,0.0005,19999,0.632,34.3,0,0.693
256.0,0.9,0.85,0.0001,19999,0.616,36.7,0,0.693
256.0,0.95,0.95,0.00025,19999,0.616,39.0,0,0.691
128.0,0.95,0.85,0.00025,19999,0.666,37.0,0,0.691
256.0,0.99,0.9,0.0005,19999,0.702,42.6,0,0.69
256.0,0.9,0.85,0.0005,19999,0.634,35.6,0,0.69
128.0,0.99,0.9,0.0005,19999,0.696,43.5,0,0.689
256.0,0.99,0.9,0.00025,19999,0.68,45.0,0,0.689
128.0,0.99,0.85,0.0005,19999,0.644,42.6,0,0.689
256.0,0.95,0.85,0.0001,19999,0.682,38.3,0,0.689
128.0,0.95,0.85,0.0005,19999,0.66,38.6,0,0.687
256.0,0.99,0.9,0.0001,19999,0.694,44.2,0,0.686
256.0,0.99,0.85,0.0005,19999,0.67,39.8,2,0.685
256.0,0.95,0.95,0.0005,19999,0.66,38.1,0,0.684
256.0,0.99,0.85,0.00025,19999,0.668,43.3,0,0.684
128.0,0.99,0.9,0.00025,19999,0.66,41.7,0,0.683
128.0,0.95,0.9,0.0001,19999,0.686,39.5,0,0.683
128.0,0.9,0.95,0.0001,19999,0.618,35.1,1,0.682
128.0,0.9,0.85,0.0001,19999,0.568,33.9,0,0.681
128.0,0.95,0.85,0.0001,19999,0.686,39.9,0,0.681
256.0,0.95,0.9,0.0005,19999,0.628,37.3,0,0.676
256.0,0.95,0.85,0.00025,19999,0.634,37.7,0,0.676
128.0,0.99,0.85,0.0001,19999,0.688,42.6,0,0.673
128.0,0.99,0.95,0.00025,19999,0.668,44.0,0,0.671
128.0,0.95,0.95,0.00025,19999,0.682,38.1,0,0.668
128.0,0.9,0.85,0.0005,19999,0.57,33.7,1,0.668
128.0,0.95,0.95,0.0005,19999,0.582,40.4,0,0.665
128.0,0.95,0.95,0.0001,19999,0.626,37.2,0,0.662
128.0,0.99,0.95,0.0001,19999,0.658,44.4,1,0.66
128.0,0.95,0.9,0.0005,19999,0.676,37.9,0,0.656
256.0,0.9,0.9,0.0001,19999,0.578,36.6,0,0.644
256.0,0.99,0.85,0.0001,19999,0.672,43.3,0,0.607
128.0,0.95,0.9,0.00025,19999,0.638,38.6,2,0.555
128.0,0.9,0.95,0.00025,19999,0.586,36.2,1,0.552
128.0,0.99,0.9,0.0001,19999,0.674,43.9,1,0.547
256.0,0.9,0.9,0.00025,19999,0.48,33.7,0,0.502
256.0,0.95,0.9,0.00025,19999,0.714,37.6,0,0.501
128.0,0.9,0.95,0.0005,19999,0.65,37.2,0,0.495
128.0,0.9,0.9,0.0001,19999,0.572,34.4,0,0.484
256.0,0.95,0.95,0.0001,19999,0.686,38.9,0,0.483
256.0,0.9,0.85,0.00025,19999,0.524,34.6,0,0.435
256.0,0.9,0.95,0.0005,19999,0.62,35.1,0,0.411
256.0,0.9,0.9,0.0005,19999,0.594,35.3,1,0.405
256.0,0.9,0.95,0.00025,19999,0.482,33.2,0,0.372
128.0,0.9,0.9,0.00025,19999,0.52,37.8,0,0.282
256.0,0.9,0.95,0.0001,19999,0.518,33.0,1,0.28
